index,text,label,spacy_label
7703,the cystic artery was also identified within the triangle of calot,artery,cystic artery
6539,cervical intraepithelial neoplasia grade iii status post conization with poor margins,cervical,cervical intraepithelial neoplasia grade
11579,he is a nonsmoker and denies swelling in his ankles,swelling,
5274,tunneling of synchromed infusion pump catheter ,catheter,
3173,the patient was taken to the operating room where spinal anesthesia was administered without difficulty,anesthesia,patient spinal
10308,there was some adhesion noted to the anterior midline which was taken down using the harmonic scalpel,anterior,
10119,at this time the distal screws were then placed,distal,
2286,the mid and distal trachea were widely patent,distal,
11538,intraperitoneal pigtail catheter,catheter,intraperitoneal
3353,no other sites of bleeding were identified,bleeding,
9398,no oral or rectal contrast was utilized,contrast,oral rectal
11969,she is continuing to be attended to by the anesthesiologist who will manage the epidural catheter,catheter,epidural catheter
4965,subcutaneous dissection was performed to the nasolabial fold and cheek and extending across the neck in the midline,neck,nasolabial cheek midline
10859,her medical conditions driving her toward surgery include hypercholesterolemia hypertension varicose veins prior history of stroke,surgery hypertension,varicose veins
1964,she underwent a shoulder ligament repair for joint laxity,ligament shoulder,joint
3325,marcaine was infused into all incision areas prior to making an incision,incision,marcaine
9641,the cervical os appeared parous,cervical,cervical
8775,extensive degenerative disease was found on the femoral head as well as in the acetabulum,femoral,femoral head
8664,noncontrast ct head,ct,head
10061,the nerve integrity monitoring system endotracheal tube was confirmed to be working adequately,endotracheal nerve tube,nerve endotracheal tube
6339,other than that all the seeds were very well distributed throughout the prostate under fluoroscopy,fluoroscopy prostate,seeds prostate
3555,no throat swelling,swelling,throat
7437,the cremasteric fascia was then incised and the internal spermatic fascia was grasped and pulled free,fascia,cremasteric fascia spermatic fascia
7892,stepping ultrasound will be performed and utilized in the pre planning process,ultrasound,
2458,respiratory no dyspnea on exertion no wheezing or cough,respiratory,
1037,sponge and needle counts correct,needle,
10449,senile nuclear cataract left eye,eye cataract,nuclear eye
2083,overall fetal heart tones remained reassuring during the progress of labor,heart,heart
6722,a 52 french bougie was placed in the proximal esophagus by anesthesia above the cardioesophageal junction,anesthesia esophagus,esophagus cardioesophageal
9041,the hair was prepared and secured with rubber bands and micropore tape along the incision line,incision,hair
10841,prior history of anemia abdominal bloating,abdominal anemia,abdominal bloating
11300,has prostate cancer,prostate,prostate cancer
11863,selective coronary angiograms were then performed using a left and a 3drc catheter,catheter coronary,coronary
10725,pylori x2 with biopsy forceps,biopsy,biopsy forceps
6874,anemia secondary to blood loss,anemia,blood
104,penile mass,mass,
11149,we drained the knee and washed out the knee with copious amounts of sterile saline solution,knee,saline
3176,the patient was then prepped and draped in the usual sterile fashion for ophthalmological surgery,surgery,patient
3848,at this point curved masterson was used to incorporate the cardinal ligament complex thus was transected and suture ligated,ligament,
4418,no additional bleeding was evident,bleeding,
594,in summary we have a 67 year old gentleman with risk factors for coronary heart disease,coronary heart,gentleman heart
9419,biopsies of the distal duodenum gastric antrum and distal esophagus were taken and sent for pathological evaluation,esophagus biopsies distal,esophagus
4993,after informed consent was obtained the patient was taken to the cardiac catheterization lab where his procedure was performed,catheterization,patient cardiac
4902,negative right foot,foot,
4132,hemostasis was achieved with using suction cautery,hemostasis,
1395,repair of bladder laceration,bladder,bladder laceration
8561,unremarkable except for mild distal vibratory sensation loss in the toes r l ,distal,
8875,bilateral direct inguinal hernia repair utilizing phs system and placement of on q pain pump,hernia inguinal,inguinal hernia phs
446,the prostate was normal in size and consistency,prostate,prostate
3188,bunion deformity right foot,foot,
1748,mesosalpinx was incised and 3 4 cm tube doubly tied transected and excised and excellent hemostasis was noted,hemostasis tube,mesosalpinx tube
711,some more lesions were noted above the left uterosacral ligament,ligament,
8737,when the small bowel was completely freed of abscess bulk of the bladder was seen anteriorly to the uterus,bladder uterus,bowel bladder uterus
1168,care was taken to preserve the extensor tendon,tendon,extensor tendon
8357,mri left knee ,mri knee,
6672,a final 3 0 pds suture was used to further approximate the anterior and posterior tonsil pillars,anterior,anterior and posterior tonsil
33,the breast was removed and then the axillary contents were dissected out,breast,breast axillary
3500,the tails of the fiber wire suture were grasped and pulled down through the second incision,incision,fiber wire suture
10294,biopsies were performed,biopsies,
7061,at the termination of the procedure no significant contusion of the brain was identified,brain,brain
7420,right tibial plateau fracture and also medial meniscus tear on the right side,fracture,medial meniscus tear
2371,antibiotics when indicated for bacterial infection such as amoxicillin or zithromycin,infection,amoxicillin
9310,the knee was taken through range of motion and there was no chondromalacia,knee,
10314,camper s fascia was divided and skin flaps were elevated with sharp dissection and ligation of vessels where necessary,fascia,skin flaps vessels
8473,postpartum tubal ligation and removal of upper abdominal skin wall mass,abdominal mass,postpartum tubal upper abdominal skin wall
10248,the patient had previous diagnosis of carpal tunnel and emg showed compression of the right median nerve,nerve,patient
2177,large juxtarenal abdominal aortic aneurysm,abdominal,
7987,the patient denies any other abdominal surgeries,abdominal,patient abdominal surgeries
2189,after receiving interscalene block anesthetic by the anesthesia department he was safely placed in a modified beachchair position,anesthesia,
9137,the anterior compartment appeared necrotic for most of the muscle in the compartments,anterior,muscle
4510,plain studies of the lumbar spine show an l5 compression fracture,lumbar fracture spine,lumbar spine
7382,the tourniquet was let down,tourniquet,
2860,the anterior and posterior colpotomies were accomplished with a combination of blunt and sharp dissection without difficulty,anterior,anterior and posterior colpotomies
743,left shoulder actinic keratosis 1 cm,shoulder,
10178,the needle was brought into the field,needle,
7465,implantation of antibiotic beads left shoulder,shoulder,
6571,while in the recovery the patient was given postoperative instructions to include ice and elevation to his right foot,foot,patient
804,we will begin tube feeds later this afternoon,tube,tube
1375,he feels much better today improved weakness and decreased muscular pain,weakness,muscular
2896,she had noninvasive vascular imaging demonstrating suspected right subclavian stenosis,stenosis,vascular
1600,the patient was then seen in the neuro ophthalmology clinic on 12 23 9,ophthalmology,patient
8372,radiographs of the heel show no fracture noted with good alignment,fracture,
5153,endoscopic retrograde cholangiopancreatography with brush cytology and biopsy,biopsy,brush cytology
7795,a hard copy of the fluoroscopy was obtained,fluoroscopy,
10395,the wound was irrigated with antibiotic solution and hemostasis was well achieved with pledgets of gelfoam subsequently irrigated away,hemostasis,wound
6902,right coronary artery this has an unusual high anterior takeoff,artery anterior coronary,
7440,following this the catheter was exchanged over the guidewire for 6 french jr4 diagnostic catheter,catheter,guidewire
6366,a groove incision at the 12 o clock position was made with a 5700 blade,incision,
9671,full range of movement of lumbosacral spine,spine,lumbosacral spine
9958,abdomen soft bowel sounds active x 4 quadrants,abdomen,abdomen bowel
1272,during the laparotomy the uterus was small mobile and did not show any evidence of extrauterine spread of disease,uterus,uterus extrauterine
1951,repair of left little extensor tendon,tendon,
780,in the stomach there was evidence of diffuse atrophic appearing nodular gastritis,stomach,stomach nodular gastritis
10044,blood loss anemia,anemia,blood
7393,right renal angle is tender,renal,
6318,there was no overt bleeding,bleeding,
11897,recommend either short interval followup versus laparoscopic evaluation given the large size and complex nature,laparoscopic,
7290,the catheter was then advanced through the peel away sheath,catheter,peel
5234,adenocarcinoma of prostate gleason s score 9 with both lobe involvement and seminal vesicle involvement t3b ,prostate,adenocarcinoma prostate gleason lobe seminal vesicle
9200,transdermal electrodes for continuous facial nerve emg monitoring were placed and no response was verified,nerve,facial nerve
2498,femoral embolectomy gi bleed hypertension pvd hypothyroid gerd osteoarthritis diabetes cad renal artery stenosis copd and atrial fibrillation,artery stenosis hypertension renal femoral atrial diabetes,pvd gerd cad renal artery
6290,the cornea on the right eye shows a paracentral area of mild corneal edema,eye,cornea eye paracentral corneal edema
3843,on laparoscopic exam the uterus is normal appearing but slightly compressible,laparoscopic uterus,uterus
8929,it was placed in the anterior chamber of the eye,anterior eye,eye
3533,he is undergoing silicone oil removal as well as concurrent cataract extraction with lens implant in the right eye,eye cataract,oil lens eye
4870,skin incision was then carried out extending from the greater trochanter in a curvilinear fashion posteriorly across the buttocks,incision,skin trochanter
2343,we were able to get a 30 x 13 mm power saver balloon into the stenosis and dilated,stenosis,
2690,the block was administered in a retrobulbar fashion using an atkinson needle and a good block was obtained,needle,
10708,the bladder neck mucosa was then everted by using 4 0 chromic sutures,bladder neck,bladder neck mucosa
7293,the tumor was noted to be grossly friable with oozing noted from the tumor with minimal manipulation,tumor,tumor friable tumor
45,the underlying soft tissues were incised down at the skin incision,incision,soft tissues skin
1797,patellar tendon retinaculum ruptures right knee,knee tendon,patellar tendon retinaculum ruptures right knee
11829,the patient had done well after a previous total shoulder arthroplasty performed by dr,shoulder,patient dr
9175,lumbar epidural steroid injection intralaminar approach seated position,lumbar injection,epidural steroid intralaminar
4831,he should follow a low fat low salt low cholesterol and heart healthy diabetic diet,heart,fat salt cholesterol heart
10538,there was really no obvious rectus abdominal muscles noted,abdominal,
10268,on bimanual exam the patient has a small anteverted uterus it is freely mobile,uterus,patient uterus
11261,excision of the right temple keratotic neoplasm final defect measuring ,excision,temple keratotic neoplasm
1191,coronary artery disease with ischemic cardiomyopathy,artery coronary,coronary artery
4460,she started having bleeding three weeks ago with intermittent bouts of flooding,bleeding,
3063,at this point we cannulated this with a 6 french hypospadias catheter,catheter,
11125,at this time the patient as well complained of epigastric discomfort and nausea,nausea,patient epigastric
10727,the bladder is within normal limits for technique,bladder,bladder
10913,placement confirmed with biplanar coaxial fluoroscopy,fluoroscopy,
4743,using hand injections of nonionic contrast material the left coronary system was evaluated in several different views,coronary contrast,
423,bladder was irrigated and connected to three way irrigation,bladder,bladder
5065,a santa barbara t tube was then inserted without difficulty and 5 drops ciloxan solution applied,tube,tube
3302,limited on today s ultrasound the views of nasolabial region,ultrasound,nasolabial
6074,all vessels encountered were ligated with hemostasis,hemostasis,vessels
4601,he has noted some stool irregularity with occasional loose stools and new onset of pain predominantly in left neck,neck,stool stools left neck
6408,left laparoscopic hand assisted nephrectomy,laparoscopic,
11823,sponge lap and needle counts were correct at the end of the procedure,needle,sponge lap
3864,two additional biopsies were obtained in the antrum for clo testing,biopsies,biopsies antrum
5567,the ________ two biopsies of the right lateral wall and those were sent for pathology,biopsies,________
8439,thank you for following xxxx along with us in pediatric urology clinic,urology,
8536,a pursestring suture of 3 0 prolene was placed around the needle in the paraspinous muscle,needle,paraspinous muscle
5619,the patient was prepped and draped in usual oromaxillary facial surgery fashion,surgery,patient
4693,after dissecting proximally the testis was identified in the distal end of the inguinal canal,inguinal distal,testis inguinal canal
6098,postoperative diagnoses airway obstruction secondary to severe subglottic tracheal stenosis with foreign body in the trachea,stenosis,airway subglottic tracheal
11365,for the replacement of his right nephrostomy tube by dr,tube,dr
5206,a hida scan was performed and revealed no evidence of gallbladder dysfunction,gallbladder,gallbladder
4861,he has a left nasal obstruction and depressed left nasal bone,nasal,left nasal left nasal bone
9719,there is also mitral stenosis,stenosis,mitral
10371,anterior cervical spine fusion c6 c,cervical anterior spine,c6 c
3691,the abdomen was then aspirated,abdomen,abdomen
5564,the foot was elevated and an esmarch bandage applied to exsanguinate the foot,foot,
6175,brain ct revealed ,ct brain,brain
7143,due to some increasing renal insufficiency and difficulties with hydration it was elected to change her to intraperitoneal therapy,renal,renal intraperitoneal
8467,the anesthesiologist then placed an orogastric tube and suctioned approximately 10 cc of stomach contents with the nasogastric tube,stomach tube,orogastric tube stomach nasogastric tube
1869,the patient was kept in the prone position for approximately 10 minutes post cement injection,injection,patient
8279,we next turned our attention to the left gastric artery,artery,gastric artery
1967,iv sedation was given by anesthesia department,anesthesia,
11928,normal postoperative hernia repair,hernia,
644,significant for hypertension for which the patient takes norvasc and lopressor for,hypertension,patient
934,she underwent general endotracheal anesthetic,endotracheal,endotracheal
6684,using fluoroscopy the patient s k wire was located,fluoroscopy,patient
847,this 67 year old hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction,bladder neck prostate,patient prostate bladder neck
7266,the first dorsal compartment was addressed through a transverse incision at the level of the radial styloid tip,incision,dorsal compartment
1698,the left inguinal region was shaved,inguinal,
8134,capsulotomy left breast flat advancement v to y left breast for correction lower pole defect,breast,
844,renal insufficiency,renal,
1969,he tried conservative measures and failed to respond so he sought out surgery,surgery,
5064,moderate to severe aortic stenosis with an aortic valve area of ,stenosis,aortic
7563,she wished to proceed with surgery,surgery,
2516,also on the pulmonary artery repair some material was used and also thrombin gelfoam and surgicel,artery pulmonary,pulmonary artery thrombin gelfoam
574,the veress needle was removed,needle,
4255,the synchromed pump catheter was connected to the synchromed pump and anchored in place with a 0 silk tie,catheter,
7619,cataract nuclear sclerotic right eye,eye cataract,nuclear eye
10006,incision was made from just above the umbilicus about ,incision,umbilicus
8805,lumbar discogram l4 ,lumbar,
28,risk of open surgery was little bit higher for the patient,surgery,patient
7157,abdominal soft nontender nondistended bowel sounds present,abdominal,bowel
4927,the fascia of the infraumbilical incision was reapproximated with an interrupted suture of 3 0 vicryl,incision fascia,
5152,nasal and oral airflow were monitored using a triple port thermistor,nasal,oral
782,the fascia was reapproximated with 0 vicryl suture,fascia,fascia
5988,extraction of teeth 2 and 19 and incision and drainage of intraoral and extraoral of left mandibular dental abscess,incision,teeth intraoral extraoral
8390,the incision measured approximately 1 cm and was just below the palpable cricoid cartilage and first tracheal ring,incision,cricoid cartilage tracheal
6905,3 thoraco lumbar segmental dysfunction 73,lumbar,thoraco lumbar segmental
4842,the nasopharyngeal mass appeared polypoid in nature almost lymphoid tissue looking,mass,nasopharyngeal polypoid lymphoid tissue
6557,the gallbladder contained numerous stones which were small,gallbladder,gallbladder stones
5352,on exam under anesthesia an obese female with an enlarged fibroid uterus freely movable on the pelvis,anesthesia uterus pelvis,female uterus pelvis
7460,the patient has some nausea and vomiting,nausea,patient
10826,degenerative osteoarthritis right knee,knee,
4306,foreign body of the right thigh sewing needle,needle,right thigh
3115,the patient was already in the operating room under general anesthesia,anesthesia,patient
3749,the eye was noted to be inflated without overinflation,eye,eye
4269,anesthesia is local with conscious sedation,anesthesia,
8580,the deep muscular fascia was reapproximated with 2 0 vicryl suture,fascia,muscular fascia
8741,cervical spine mri dated 06 28 07 is reviewed,cervical mri spine,cervical spine
10105,lower segment incision was inspected,incision,
8801,neck full range of motion with no adenopathy or thyromegaly,neck,
2838,superior gluteal nerve block left,nerve,gluteal nerve
8426,the uterus has been incised in the transverse fashion using the scalpel and extended using manual traction,uterus,uterus
3641,lumbar discogram l2 ,lumbar,
4777,subsequently at the end of the procedure fluoroscopy was done,fluoroscopy,
6336,all trocars were removed under direct visualization and the abdomen was desufflated prior to removal of the last trocar,abdomen,abdomen
10109,excision of the left nasolabial fold defect ,excision,
5539,the distal dissection was then completed exposing each common iliac artery,artery distal,iliac artery
5555,25 marcaine ilioinguinal nerve block 30 ml given per surgeon,nerve,
3906,lateral investing bands of the spermatic cords were divided high into the inguinal internal ring,inguinal,spermatic cords inguinal internal
4407,the risks are infection hemorrhage and meatal stenosis,stenosis infection,meatal
8045,the patient s right eye was prepped and draped in sterile ophthalmic fashion and the procedure begun,eye,patient eye
3888,he was taken to a local er and a brain ct revealed an intracranial mass,ct brain mass,brain intracranial
6027,75 marcaine and wydase was administered to the right eye without difficulty,eye,marcaine eye
1910,lumbar epidural steroid injection without fluoroscopy,lumbar fluoroscopy injection,epidural steroid
8302,at the end of the procedure again cystoscopy was done the entire bladder was visualized,bladder cystoscopy,bladder
11771,the brachial artery was normal,artery,brachial artery
7841,there is fluid in the glenohumeral joint and biceps tendon sheath,tendon,glenohumeral joint
3291,at this time the patient s left ankle tourniquet was deflated,tourniquet,patient
8963,otherwise the spleen pancreas left adrenal and kidneys are free of gross mass,mass,spleen pancreas kidneys
5979,excisional biopsy with primary closure of a 4 mm right lateral base of tongue lesion,biopsy,biopsy tongue
5663,after the area was prepped and draped a local anesthesia was achieved with marcaine,anesthesia,marcaine
2221,the arm was exsanguinated with esmarch and the tourniquet inflated to 250 mmhg,tourniquet,esmarch
11031,the patient was taken to the endoscopy suite,endoscopy,patient
6151,cervical spondylosis,cervical,cervical
564,a laparoscopic gastrostomy was performed and then a diagnostic laparoscopy performed,laparoscopic,
8064,i then approached the bladder neck,bladder neck,bladder neck
5997,the serosanguineous fluid of the cul de sac was aspirated and the pelvis was copiously irrigated with sterile saline,pelvis,serosanguineous fluid sac pelvis saline
1866,she is mildly tender in the abdomen in the right upper quadrant,abdomen,abdomen
9348,the uterus was sounded to 1,uterus,uterus
2815,the vision in the left eye is 20 20 uncorrected,eye,eye
6050,the area was irrigated extensively and cautery used to assure hemostasis,hemostasis,
11146,hawkins and neer impingement signs are positive at the left shoulder,shoulder,neer
8189,physical exam vitals blood pressure today was heart rate respiratory rate ,respiratory heart,blood heart
10257,after this the patient was then prepped and draped in the usual sterile fashion including the left shoulder region,shoulder,patient
1346,noncontrast ct scan of the lumbar spine reason for ,ct lumbar spine,lumbar spine
7022,longitudinal incision was made over the anterior aspect of the right knee,incision anterior knee,
3960,esophagogastroduodenoscopy with biopsy and snare polypectomy,biopsy,biopsy
3952,the catheter was looked upwards and the double lumen port was inserted subcutaneously towards the iliac area,catheter,lumen iliac
1631,exsanguination achieved tourniquet inflated to 250 mmhg,tourniquet,
6665,we then used bovie electrocautery to open the jejunum at this site,electrocautery,jejunum
4560,these bladder instillations do not seem to be helping her,bladder,bladder
225,the patient was brought to the operative suite by anesthesia,anesthesia,patient
6709,the preoperative examination shows induration of the nasal tip without significant erythema,nasal,nasal
4297,the patient had the indigo carmine instilled into the bladder with some saline about 300 cc,bladder,patient indigo carmine instilled bladder saline
5353,the anterior artery was seen in the clamp also and was separated and ligated and separated,artery anterior,anterior artery
8332,lipodystrophy of the abdomen and thighs,abdomen,abdomen
6077,the patient s anterior incision made just lateral to the coracoid in the skin line,incision anterior,patient lateral coracoid skin line
2812,two fingerbreadths above the pubic tubercle a transverse incision was made,incision,pubic tubercle
11759,the anterior motor branch was then very fine almost filamentous and stimulated at ,anterior,anterior motor filamentous
3979,then a pullback gradient was performed and the catheter was removed,catheter,
8482,the cervical fusion was completed by decorticating the posterior elements of c1 c2 and c,cervical,cervical posterior elements c1 c2
7026,there are adhesions involving the right ovary to the anterior abdominal wall and the bowel,anterior abdominal,adhesions anterior abdominal bowel
2784,no source of the anemia was identified,anemia,
1258,no acute disease in the lumbar spine,lumbar spine,
8543,trus biopsy revealed 4 3 gleason score prostate cancer with a large tumor burden,biopsy tumor prostate,prostate cancer tumor
7036,the umbilical hernia was taken down,hernia,
11826,laparoscopic paraventral hernia in 11 0,laparoscopic hernia,paraventral
5677,the nerve roots themselves were inspected with a double ball dissector and found to be equally decompressed,nerve,nerve roots
10915,since undergoing cyberknife treatment she has had low level nausea without vomiting,nausea,
1962,left superficial nasal cauterization,nasal,left superficial nasal
5964,after adequate endotracheal anesthesia was induced appropriate monitoring lines were placed,endotracheal anesthesia,endotracheal lines
7963,the femoral component was then cemented into position,femoral,femoral
7449,excess catheter was coiled and placed behind the pump,catheter,
6697,there is an interstitial sprain partial tear of the anterior cruciate ligament,anterior ligament,anterior cruciate
4413,while she is here i am going to also get her the blood test she needs for her diabetes,diabetes,blood
1067,glenoid labrum tear right shoulder,shoulder,glenoid labrum tear right
6962,senile cortical cataract left eye,eye cataract,eye
7065,anesthesia was induced after which she was examined prepped and draped,anesthesia,
536,tibial nerve identified clamped and cut,nerve,tibial nerve
9845,the patient on ultrasound had a ,ultrasound,patient
6251,the scope was then passed into the stomach,stomach,stomach
7639,the right coronary artery is a dominant system which gives off normal posterior descending and posterior lateral branches,artery coronary,posterior descending posterior lateral branches
6567,she does have significant family history with two daughters having breast cancer,breast,breast cancer
11594,incision was made pfannenstiel approximately ,incision,pfannenstiel
2518,diffuse synovitis right shoulder,shoulder,
2956,there is a small hiatal hernia,hernia,
2123,we therefore decided to proceed with coronary angiography,coronary angiography,coronary
7336,on 12 7 92 she underwent a left fronto temporo parieto occipital craniotomy and excision of five meningiomas,excision,meningiomas
1022,review of the chest x ray demonstrated a normal situs normal heart size and adequate pulmonary vascular markings,chest pulmonary heart,chest x heart pulmonary vascular
6889,procedure began with a left hemitransfixion incision which was brought down into the left intercartilaginous incision,incision,
10493,the tourniquet was insufflated to a pressure 325 mm for approximately 59 minutes,tourniquet,
7859,the overlying conjunctiva was then closed with a running 8 0 vicryl suture with a bv needle,needle,conjunctiva
6701,maximum heart rate achieved was 90 with a maximum blood pressure unchanged,heart,heart blood
7120,this revealed an ejection fraction of 60 with diastolic dysfunction and periaortic stenosis with an opening of 1 cm,stenosis,periaortic
2185,this is a 28 year old female who comes for dietary consultation for diabetes during pregnancy,diabetes,female
3169,at this point a distal guide was then placed and drilled across both the cortices,distal,
5694,she had a significant amount of incisional pain following morning but no nausea,nausea,
11799,the ulnar nerve was well isolated before it entered the cubital tunnel,nerve,ulnar nerve cubital
6512,the knee was taken through range of motion with sufficient range of motion as well as stability,knee,
1149,under fluoroscopic guidance a 22 gauge spinal needle was then placed into the l34 facet on the left side,needle,spinal needle
2028,he has some neck pain at times and has seen dr,neck,dr
1387,the gas was allowed to escape from the abdomen and the instruments were removed,abdomen,abdomen
5951,anemia drop in hemoglobin most likely hemodilutional,anemia,hemoglobin
2556,at our last visit i only had a report of her prior cervical spine mri,cervical mri spine,cervical spine
10997,the patient recently underwent a cone biopsy at which time invasive adenocarcinoma of the cervix was noted,biopsy,patient cone biopsy adenocarcinoma cervix
10443,using his previous incision dissection was carried down through the screw,incision,
9771,the cholangiocatheter was removed and two clips were then placed distal to the ductotomy on the cystic duct,distal,cystic duct
8377,the suction catheter was also used to suction up the stomach,catheter stomach,stomach
11180,the tourniquet was then deflated,tourniquet,
7269,the patient was taken to the operating room where general anesthesia was administered without difficulty,anesthesia,patient
1479,the suture was tied in the center along the anterior and posterior walls,anterior,anterior and posterior walls
2611,on laparotomy the uterus did have multiple pedunculated fibroids the largest being approximately 7 cm,uterus,uterus
1524,the patient had an egd in 2005 as well as colonoscopy in silver city,colonoscopy,patient silver
3527,he had previously undergone a ct scan,ct,
11926,next with a 15 blade scalpel an oblique skin incision was made over the spermatic cord region,incision,skin spermatic cord
4018,there was resting hypertension noted systolic of approximately 152 mmhg with appropriate response of blood pressure to exercise,hypertension,blood
3322,included right renal mass as well as biopsies from the base of the resection,renal mass biopsies,right renal biopsies
7071,at this time an ap x ray of the knee was taken with the trial components in place,knee,
10461,there is no gallbladder wall thickening or pericholecystic fluid,gallbladder,gallbladder wall pericholecystic fluid
11569,the cement hardened with the knee in full extension after which any extra cement was removed,knee,extra cement
