text,label,spacy_label
"albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",,albuterol ipratropium bromide dme
aspiration and/or injection of large joint or joint capsule,injection,joint
prosthetic repair of shoulder joint,shoulder,
extensive removal of shoulder joint tissue using an endoscope,shoulder,joint tissue
shaving of shoulder bone using an endoscope,shoulder,bone
repair of shoulder rotator cuff using an endoscope,shoulder,
"x-ray of shoulder, minimum of 2 views",,
"x-ray of knee, 3 views",,
"injection, methylprednisolone acetate, 80 mg",,methylprednisolone acetate
"hyaluronan or derivative, gel-one, for intra-articular injection, per dose",,gel-one intra-articular
"hyaluronan or derivative, monovisc, for intra-articular injection, per dose",,intra-articular
insertion of needle into vein for collection of blood sample,needle,blood
"therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",,
"therapeutic procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",,
"manual (physical) therapy techniques to 1 or more regions, each 15 minutes",,
"evaluation of physical therapy, typically 20 minutes",,
"evaluation of physical therapy, typically 30 minutes",,
"therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",,patient
"vaccine for influenza for administration into muscle, 0.5 ml dosage",,vaccine muscle
ct scan of heart blood vessels and grafts with contrast dye,ct heart contrast,heart blood vessels grafts
nuclear medicine study of vessels of heart using drugs or exercise multiple studies,heart,nuclear vessels heart
routine electrocardiogram (ekg) using at least 12 leads with interpretation and report,,
"exercise or drug-induced heart and blood vessel stress test with ekg monitoring, physician interpretation and report",heart,heart blood vessel
"heart rhythm tracing, computer analysis, and interpretation of patient-triggered events greater than 24-hour ekg up to 30 days",heart,heart
heart rhythm symptom-related tracing of 24-hour ekg monitoring up to 30 days,heart,heart
heart rhythm symptom-related interpretation of 24-hour ekg monitoring up to 30 days,heart,heart
"evaluation, testing, and programming adjustment of permanent dual lead pacemaker system with physician analysis, review, and report",,
"ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",ultrasound heart,heart blood valve
insertion of catheter for imaging of heart blood vessels or grafts,catheter heart,heart blood vessels grafts
"subsequent hospital inpatient care, typically 15 minutes per day",,
"anesthesia for procedure on esophagus, stomach, and/or upper small bowel using an endoscope",anesthesia,esophagus stomach upper bowel
anesthesia for procedure on large bowel using an endoscope,anesthesia,bowel
anesthesia for diagnostic examination of large bowel using an endoscope,anesthesia,bowel
"walking training to 1 or more areas, each 15 minutes",,
"psychotherapy, 60 minutes",,
"eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",eye,eye patient
injections of trigger points in 3 or more muscles,,
injection procedure into sacroiliac joint for anesthetic or steroid,injection,
injection of substance into spinal canal of upper or middle back using imaging guidance,injection,spinal canal
"implantation of spinal neurostimulator electrodes, accessed through the skin",,spinal skin
testing for presence of drug,,
"electronic analysis of implanted brain, spinal cord or peripheral stimulation device with complex spinal cord or peripheral nerve stimulator programming",nerve,brain peripheral peripheral nerve
"psychological testing evaluation by qualified health care professional, first 60 minutes",,
"injection, cefazolin sodium, 500 mg",,cefazolin
"injection, dexamethasone sodium phosphate, 1 mg",,"dexamethasone sodium phosphate, 1"
"injection, midazolam hydrochloride, per 1 mg",,midazolam hydrochloride
"injection, fentanyl citrate, 0.1 mg",,fentanyl
"injection, triamcinolone acetonide, not otherwise specified, 10 mg",,triamcinolone
"low osmolar contrast material, 200-299 mg/ml iodine concentration, per ml",contrast,osmolar iodine
"low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",contrast,osmolar iodine
"injection of chemical for destruction of nerve muscles on arm or leg, 1-4 muscles",nerve injection,nerve muscles leg
electrical stimulation for guidance with injection of chemical for destruction of muscles,injection,
"injection, onabotulinumtoxina, 1 unit",,"onabotulinumtoxina, 1"
ct scan guidance for insertion of radiation therapy fields,ct,
"management of radiation therapy, complex",,
"management of radiation therapy simulation, simple",,
"management of radiation therapy, simulation, complex",,
"management of radiation therapy, 3d",,
calculation of radiation therapy dose,,
management of modulation radiotherapy planning,,
"radiation treatment devices, design and construction, complex",,
design and construction of device for radiation therapy,,
"radiation treatment management, 5 treatments",,
stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy,,
"injections of tendon sheath, ligament, or muscle membrane",tendon,tendon sheath muscle membrane
open treatment of broken thigh bone with insertion of hardware or prosthetic replacement,,thigh bone
surgical treatment of broken thigh bone,,thigh bone
partial removal of collar bone at shoulder using an endoscope,shoulder,collar bone
release and/or relocation of median nerve of hand,nerve,
"x-ray of wrist, minimum of 3 views",,
"x-ray of hand, minimum of 3 views",,
"x-ray of hip with pelvis, 2-3 views",,pelvis
"x-ray of knee, 4 or more views",,
"x-ray of ankle, minimum of 3 views",,
"x-ray of foot, minimum of 3 views",,
fluoroscopic guidance for insertion of needle,needle,
"hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",,intra-articular
"electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care",,wound
blood glucose (sugar) test performed by hand-held instrument,,blood glucose sugar
ambulatory continuous glucose (sugar) monitoring for a minimum of 72 hours,,glucose sugar
ambulatory continuous glucose (sugar) including interpretation and report for a minimum of 72 hours,,glucose sugar
"evaluation of physical therapy, typically 45 minutes",,
"re-evaluation of physical therapy, typically 20 minutes",,
shock wave crushing of kidney stones,,kidney stones
insertion of electronic device into bladder with voiding pressure studies,bladder,bladder
non-needle measurement and recording of electrical activity of muscles at bladder and bowel openings,bladder,muscles bladder bowel
insertion of device into the abdomen with measurement of pressure and urine flow rate,abdomen,abdomen urine
dilation of bladder canal (urethra) using an endoscope,bladder,bladder canal urethra
"imaging guidance for procedure, up to 1 hour",,
identification of organisms by genetic analysis,,
detection test for vancomycin resistance strep (vre),,vancomycin
detection test for staphylococcus aureus (bacteria),,
"detection test for staphylococcus aureus, methicillin resistant (mrsa bacteria)",,
"detection test for strep (streptococcus, group a)",,
detection test for organism,,
detection test for multiple organisms,,
"injection of drug or substance into a vein for therapy, diagnosis, or prevention",injection,
hormonal anti-neoplastic chemotherapy administration beneath the skin or into muscle,,skin muscle
"established patient office or other outpatient visit, typically 5 minutes",,patient
"emergency department visit, moderately severe problem",,
"injection, ceftriaxone sodium, per 250 mg",,ceftriaxone sodium
"chiropractic manipulative treatment, 3 to 4 spinal regions",,
"contrast injections for x-ray imaging through existing tube in stomach, small bowel or large bowel, accessed through the skin",contrast tube,tube stomach bowel bowel skin
spinal tap for diagnosis,,spinal
ct scan head or brain,ct brain,head or brain
ct scan of face,ct,
ct scan of blood vessel of head with contrast,ct contrast,blood vessel head
ct scan of neck blood vessels with contrast,ct contrast neck,blood vessels
mri scan brain,mri brain,brain
mri scan of brain before and after contrast,mri brain contrast,brain
"x-ray of chest, 1 view",,
"x-ray of chest, 2 views",,
"x-ray of ribs of one side of body, 2 views",,ribs
"x-ray of ribs on one side of body including the chest, minimum of 3 views",,ribs
ct scan chest,ct chest,
ct scan chest with contrast,ct chest contrast,
ct scan chest before and after contrast,ct chest contrast,
ct scan of blood vessels in chest with contrast,ct chest contrast,blood vessels
"x-ray of spine of neck, 2 or 3 views",spine,spine
"x-ray of upper spine, 4 or 5 views",,upper spine
"x-ray of middle spine, 3 views",,
"x-ray of lower and sacral spine, 2 or 3 views",,sacral spine
x-ray lower and sacral spine including bending views 2 or 3 views,spine,sacral spine
ct scan of upper spine,ct spine,upper spine
ct scan of lower spine,ct spine,
"x-ray of pelvis, 1 or 2 views",,pelvis
ct scan pelvis,ct pelvis,pelvis
"x-ray of pelvis, minimum of 2 views",,pelvis
"x-ray of upper arm, minimum of 2 views",,upper
"x-ray of elbow, minimum of 3 views",,
"x-ray of forearm, 2 views",,forearm
"x-ray of fingers, minimum of 2 views",,
"x-ray of hip with pelvis, 1 view",,pelvis
"x-ray of femur, minimum 2 views",,femur
"x-ray of knee, 1 or 2 views",,
"x-ray of lower leg, 2 views",,
"x-ray of foot, 2 views",,
ct scan leg,ct,leg
"x-ray of abdomen, 1 view",,abdomen
"x-ray of abdomen, 2 views",,abdomen
ct scan of abdomen and pelvis,abdomen ct pelvis,abdomen
ct scan of abdomen and pelvis with contrast,abdomen ct contrast pelvis,abdomen pelvis
ct scan of abdomen and pelvis before and after contrast,abdomen ct contrast pelvis,abdomen pelvis
x-ray of esophagus,esophagus,esophagus
x-ray of small intestine,,intestine
ultrasound of head and neck,ultrasound neck,head and neck
ultrasound of abdomen,abdomen ultrasound,abdomen
ultrasound behind abdominal cavity,abdominal ultrasound,abdominal cavity
"ultrasound behind abdominal cavity, limited",abdominal ultrasound,abdominal cavity
ultrasound pelvis through vagina,ultrasound pelvis,pelvis vagina
ultrasound of scrotum,ultrasound,scrotum
nuclear medicine study of lung ventilation and blood circulation in the lungs,,nuclear lung blood lungs
nuclear medicine study with ct imaging skull base to mid-thigh,ct,nuclear skull
ultrasound scanning of blood flow (outside the brain) on both sides of head and neck,ultrasound neck,blood brain head and neck
ultrasound study of arteries of both arms and legs,ultrasound,arteries legs
ultrasound scan of veins of both arms or legs including assessment of compression and functional maneuvers,ultrasound,veins legs
ultrasound scan of veins of one arm or leg or limited including assessment of compression and functional maneuvers,ultrasound,veins
"ultrasound limited scan of abdominal, pelvic, and/or scrotal arterial inflow and venous outflow",ultrasound,abdominal scrotal arterial venous outflow
aspiration and/or injection of small joint or joint capsule,injection,
aspiration and/or injection of medium joint or joint capsule,injection,joint
skin test for tuberculosis,,skin
"infusion into a vein for therapy, prevention, or diagnosis up to 1 hour",,
non-hormonal anti-neoplastic chemotherapy beneath the skin or into muscle,,skin muscle
infusion of chemotherapy into a vein up to 1 hour,,
infusion of chemotherapy into a vein,,
"injection, denosumab, 1 mg",,denosumab
"injection, ferric carboxymaltose, 1 mg",,ferric carboxymaltose
"injection, golimumab, 1 mg, for intravenous use",,golimumab intravenous
"injection, infliximab, excludes biosimilar, 10 mg",,infliximab
"injection, methylprednisolone sodium succinate, up to 125 mg",,methylprednisolone sodium succinate
"injection, triamcinolone acetonide, preservative-free, extended-release, microsphere formulation, 1 mg",,triamcinolone acetonide preservative-free extended-release microsphere
"injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",,vitamin b-12 cyanocobalamin
"infusion, normal saline solution, 250 cc",,saline
"methotrexate sodium, 5 mg",,methotrexate sodium
insertion of electronic device into bladder with voiding and bladder canal (urethra) pressure studies,bladder,bladder bladder canal urethra
biopsy and/or removal of polyp of the uterus using an endoscope,biopsy uterus,polyp uterus
"colorectal cancer screening; fecal occult blood test, immunoassay, 1-3 simultaneous",,colorectal cancer blood
"injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",,betamethasone acetate 3 betamethasone sodium phosphate 3
injections of tendon attachment to bone,tendon,tendon bone
"incision of hip tendons, open procedure",incision,
destruction of upper or middle spinal facet joint nerves using imaging guidance,,spinal joint nerves
partial ultrasound of joint or other non-blood vessel structure of arm or leg,ultrasound,joint vessel
fine needle aspiration of first lesion using ultrasound guidance,needle ultrasound,fine needle
removal of fluid from chest cavity with imaging guidance,chest,
drainage of fluid from abdominal cavity using imaging guidance,abdominal,abdominal cavity
imaging for evaluation of swallowing function,,
ultrasound of transplanted kidney,ultrasound,kidney
ultrasound of pelvis,ultrasound pelvis,pelvis
"ultrasound scan of abdominal, pelvic, and/or scrotal arterial inflow and venous outflow",ultrasound,abdominal scrotal arterial venous outflow
ct scan of cranial cavity,ct,cranial cavity
ct scan of neck,ct neck,
ct scan of neck with contrast,ct contrast neck,
"mri scan bones of the eye, face, and/or neck before and after contrast",mri contrast neck,bones eye
mra scan of head blood vessels,,mra head blood vessels
"x-ray of lower and sacral spine, minimum of 4 views",,sacral spine
x-ray lower and sacral spine including bending views minimum 6 views,spine,sacral spine
mri scan of upper spinal canal,mri,
mri scan of middle spinal canal,mri,spinal canal
mri scan of lower spinal canal,mri,spinal canal
mri scan of upper spinal canal before and after contrast,mri contrast,
mri scan of middle spinal canal before and after contrast,mri contrast,spinal canal
mri scan of lower spinal canal before and after contrast,mri contrast,spinal canal
mri scan of pelvis,mri pelvis,pelvis
mri scan of pelvis before and after contrast,mri contrast pelvis,pelvis
"x-ray of sacroiliac joints, 3 or more views",,sacroiliac joints
ct scan of arm,ct,
mri scan of arm,mri,
mri scan of arm joint,mri,
"x-ray of both hips with pelvis, 2 views",,pelvis
"x-ray of both hips with pelvis, 3-4 views",,pelvis
mri scan of leg,mri,leg
mri scan of leg before and after contrast,mri contrast,leg
mri scan of leg joint,mri,leg joint
mri scan of leg joint before and after contrast,mri contrast,leg joint
ct scan abdomen,abdomen ct,abdomen
ct scan abdomen before and after contrast,abdomen ct contrast,abdomen
mri scan of abdomen,abdomen mri,abdomen
mri scan of abdomen before and after contrast,abdomen mri contrast,abdomen
3d radiographic procedure,,
3d radiographic procedure with computerized image postprocessing,,
ultrasound evaluation of abdominal aorta to detect bulging (aneurysm),abdominal ultrasound,abdominal aorta
bone density measurement using dedicated x-ray machine,,bone
ultrasound study of arteries and arterial grafts of both legs,ultrasound,arteries arterial grafts of both legs
"injection, gadoteridol, (prohance multipack), per ml",,
low dose ct scan (ldct) for lung cancer screening,ct,lung cancer
"low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml",contrast,osmolar iodine
repair of knee joint,knee,
"emergency department visit, problem of high severity",,
"emergency department visit, problem with significant threat to life or function",,
"application of medication through skin using electrical current, each 15 minutes",,skin
"application of ultrasound to 1 or more areas, each 15 minutes",ultrasound,
"measurement and recording of brain wave (eeg) activity, awake and drowsy",brain,brain
"measurement and recording of brain wave (eeg) activity, awake and asleep",brain,brain
tangential biopsy of single skin lesion,biopsy,skin
tangential biopsy of additional skin lesion,biopsy,skin
punch biopsy of single skin lesion,biopsy,punch biopsy skin
destruction of skin growth,,skin
destruction of 2-14 skin growths,,skin
destruction of 15 or more skin growths,,skin
destruction of up to 14 skin growths,,skin
"dialysis services (4 or more physician visits per month), patient 20 years of age and older",,patient
"dialysis services (2-3 physician visits per month), patient 20 years of age and older",,patient
"dialysis services (1 physician visit per month), patient 20 years of age and older",,patient
"dialysis services, per day (less than full month service), patient 20 years of age or older",,patient
"blood test, lipids (cholesterol and triglycerides)",,blood lipids cholesterol triglycerides
urine microalbumin (protein) analysis,,urine microalbumin
creatinine level to test for kidney function or muscle injury,,creatinine kidney muscle
blood glucose (sugar) level,,blood glucose sugar
detection test for influenza virus,,
"strep test (streptococcus, group a)",,
eardrum testing using ear probe,,eardrum ear
placement of ear probe for computerized measurement of sound with interpretation and report,,ear
measurement and graphic recording of total and timed exhaled air capacity,,exhaled
"electrocardiogram, routine ecg with 12 leads; performed as a screening for the initial preventive physical examination with interpretation and report",,
"annual depression screening, 15 minutes",,
"subsequent nursing facility visit, typically 10 minutes per day",,
"eye and medical examination for diagnosis and treatment, established patient",eye,eye patient
"eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",eye,eye patient
diagnostic imaging of optic nerve of eye,eye nerve,optic nerve eye
"subsequent nursing facility visit, typically 15 minutes per day",,
"subsequent nursing facility visit, typically 25 minutes per day",,
"subsequent nursing facility visit, typically 35 minutes per day",,
"nursing facility discharge management, more than 30 minutes",,
"measurement and graphic recording of the amount and speed of breathed air, before and following medication administration",,
diagnostic testing in a pulmonary function lab,pulmonary,pulmonary
"demonstration and/or evaluation of patient use of aerosol generator, nebulizer, metered dose inhaler or intermittent positive pressure breathing (ippb) device",,patient
determination of lung volumes using plethysmography,,lung
measurement of lung diffusing capacity,,lung
measurement of lung stretching capacity,,lung
critical care delivery critically ill or injured patient,,patient
simple control of nose bleed,,nose bleed
diagnostic examination of nasal passages using an endoscope,nasal,nasal
diagnostic examination of voice box using flexible endoscope,,
"repositioning maneuvers for treatment of vertigo, per day",,
blood smear interpretation by physician with written report,,blood
cell examination of specimen,,cell
"pathology examination of tissue using a microscope, moderately high complexity",,tissue
preparation of tissue for examination by removing any calcium present,,tissue calcium
"tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips",,tissue wound eyelids
psychiatric diagnostic evaluation,,
ultrasound scanning of head and neck vessel blood flow (inside the brain),ultrasound neck,head and neck vessel blood brain
"ground mileage, per statute mile",,
"ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",,
"ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",,
"ambulance service, basic life support, non-emergency transport, (bls)",,
"ambulance service, basic life support, emergency transport (bls-emergency)",,
"advanced life support, level 2 (als 2)",,
specialty care transport (sct),,
"hospital observation or inpatient care moderate severity, 50 minutes per day'",,
"injection, methylprednisolone acetate, 40 mg",,methylprednisolone acetate
"injection, ketorolac tromethamine, per 15 mg",,ketorolac tromethamine
"subsequent observation care, typically 25 minutes per day",,
"subsequent observation care, typically 35 minutes per day",,
repair of separation of wound closure with insertion of packing,,wound
"tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the scalp, arms, and/or legs",,tissue wound scalp legs
"tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",,tissue wound forehead
"tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",,tissue wound forehead
tissue transfer repair of wound (30.1 to 60.0 sq centimeters),,tissue wound
"preparation of graft site of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or 1% body area of infants and children)",eye,graft scalp eyelids eye infants children
"relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)",,patient skin eyelids
creation of flap graft to head and/or neck,neck,flap graft head and/or neck
removal of excessive skin and fat of upper eyelid,,skin fat
"destruction of insufficient vein of arm or leg, accessed through the skin",,vein leg skin
multiple incisions for removal of varicose veins of arm or leg,,varicose veins
repair of brow paralysis,,brow
"smoking and tobacco use intensive counseling, greater than 10 minutes",,tobacco
anesthesia for open or endoscopic total knee joint replacement,anesthesia knee,
advance care planning by the physician or other qualified health care professional,,
detection test for multiple types influenza virus,,
photography of the retina,,retina
"annual alcohol misuse screening, 15 minutes",,alcohol
"face-to-face behavioral counseling for obesity, 15 minutes",,
"levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg",,levalbuterol dme
"budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg",,budesonide dme
"ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",,ipratropium bromide dme
mri of heart before and after contrast,mri heart contrast,heart
"blood test, clotting time",,blood
"exercise or drug-induced heart and blood vessel stress test with ekg monitoring, physician supervision, interpretation, and report",heart,heart blood vessel
exercise or drug-induced heart and blood vessel stress test with ekg monitoring and physician supervision,heart,heart blood vessel
exercise or drug-induced heart and blood vessel stress test with ekg tracing and monitoring,heart,heart blood vessel
follow-up or limited ultrasound examination of heart,ultrasound heart,heart
insertion of probe in esophagus for heart ultrasound examination including interpretation and report,ultrasound esophagus heart,esophagus heart
"doppler ultrasound study of heart blood flow, valves, and chambers",ultrasound heart,heart blood valves
"follow-up or limited heart doppler ultrasound study of heart blood flow, valves, and chambers",ultrasound heart,heart heart blood valves
"doppler ultrasound study of color-directed heart blood flow, rate, and valve function",ultrasound heart,heart blood valve
"ultrasound examination of the heart performed during rest, exercise, and/or drug-induced stress with interpretation and report",ultrasound heart,heart
"ultrasound examination and continuous monitoring of the heart performed during rest, exercise, and/or drug-induced stress with interpretation and report",ultrasound heart,heart
injection of x-ray contrast material for ultrasound examination of the heart,ultrasound heart contrast injection,heart
"ambulatory blood pressure monitoring, recording, scanning analysis, interpretation, and report 24 hours or longer",,blood
anti-clotting management for patient taking warfarin,,patient warfarin
ultrasound scan of vena cava or groin graft or vessel blood flow,ultrasound,vena cava graft vessel blood flow
"technetium tc-99m tetrofosmin, diagnostic, per study dose",,
"injection, regadenoson, 0.1 mg",,
nuclear medicine study heart muscle at rest and/or stress multiple studies,heart,nuclear heart muscle stress
"remote evaluations of single, dual, or multiple lead pacemaker system with qualified health care professional analysis, review, and report, up to 90 days",,
"remote evaluations of single, dual, or multiple lead pacemaker system or implantable defibrillator system with technician review, support and distribution of results, up to 90 days",,
insertion of catheter in left heart for imaging of blood vessels or grafts and left lower heart,catheter heart,heart blood vessels grafts heart
"technetium tc-99m sestamibi, diagnostic, per study dose",,
"rubidium rb-82, diagnostic, per study dose, up to 60 millicuries",,
"emergency department visit, low to moderately severe problem",,
anesthesia for procedure on spine and spinal cord,anesthesia spine,spine spinal cord
removal of recurring cataract in lens capsule using laser,cataract,lens capsule
removal of cataract with insertion of lens,cataract,lens
ultrasound of corneal structure and measurement,ultrasound,corneal
examination of cornea and iris using lens device and slit lamp,,cornea iris lens
computerized mapping of corneal curvature,,corneal
measurement of field of vision during daylight conditions,,
diagnostic imaging of retina,,retina
measurement of corneal curvature and depth of eye,eye,corneal eye
review and interpretation of external ekg recording for more than 48 hours up to 21 days,,21
replacement of aortic valve with prosthetic valve accessed through the skin,,skin
"catheter insertion of stents in major coronary artery or branch, accessed through the skin",artery catheter coronary,coronary artery skin
external shock to heart to regulate heart beat,heart,heart heart
"heart rhythm tracing, analysis, and interpretation of 48-hour ekg",heart,heart
"evaluation of parameters of leadless, single, dual, or multiple lead pacemaker system with qualified health care professional analysis, review, and report",,
injection for x-ray imaging of aorta above heart valve,heart injection,aorta heart valve
"injection, perflutren lipid microspheres, per ml",,perflutren lipid microspheres
"physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial imp",,patient patient imp
"injection, orphenadrine citrate, up to 60 mg",,orphenadrine
fitting and insertion of vaginal support device,,
"biopsy of the esophagus, stomach, and/or upper small bowel using an endoscope",biopsy,esophagus stomach upper bowel
diagnostic examination of large bowel using an endoscope,,bowel
biopsy of large bowel using an endoscope,biopsy,bowel
removal of polyps or growths of large bowel using an endoscope,,polyps bowel
"moderate sedation services provided by the same physician or other qualified health care professional performing a gastrointestinal endoscopic service that sedation supports, requiring the presence of an independent trained observer to assist in the monito",,gastrointestinal
anesthesia for procedure in upper abdomen including use of an endoscope,abdomen anesthesia,abdomen
"injection of anesthetic agent, thigh nerve",nerve injection,
removal of skin and tissue first 20 sq cm or less,,skin tissue
removal of skin and tissue,,skin tissue
"application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs (first 25 sq cm or less)",,skin wound surface trunk legs
removal of tissue from wounds per session,,tissue wounds
"injection of anesthetic agent, greater occipital nerve",nerve injection,occipital nerve
injection of chemical for destruction of facial and neck nerve muscles on both sides of face,nerve neck injection,facial
needle measurement and recording of electrical activity of muscles of arm or leg complete study,needle,leg
"nerve transmission studies, 7-8 studies",nerve,7-8
"nerve transmission studies, 9-10 studies",nerve,
"nerve transmission studies, 11-12 studies",nerve,
"nerve transmission studies, 13 or more studies",nerve,
testing with stimulation for assessment of function at muscle-nerve junction,,
